order_id,item_id,product_id,quantity,list_price,discount,total_price,Product_name,Category_name
7,3,17,2,429,0.1,772.2,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
8,1,22,1,269.99,0.05,256.4905,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
8,2,20,2,599.99,0.07,1115.9814,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
9,1,7,2,3999.99,0.1,7199.982,Trek Slash 8 27.5 - 2016,Mountain Bikes
10,1,14,1,269.99,0.1,242.991,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
11,1,8,1,1799.99,0.05,1709.9905,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
11,2,22,2,269.99,0.1,485.982,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
11,3,16,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
12,1,4,2,2899.99,0.1,5219.982,Trek Fuel EX 8 29 - 2016,Mountain Bikes
12,2,11,1,1680.99,0.05,1596.9405,Surly Straggler 650b - 2016,Cyclocross Bicycles
13,1,13,1,269.99,0.1,242.991,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
13,2,17,2,429,0.05,815.1,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
13,3,20,2,599.99,0.1,1079.982,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
13,4,16,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
14,1,6,1,469.99,0.07,437.0907,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
15,1,12,2,549.99,0.07,1022.9814,Electra Townie Original 21D - 2016,Cruisers Bicycles
15,2,8,1,1799.99,0.07,1673.9907,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
15,3,18,2,449,0.05,853.1,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
15,4,23,2,299.99,0.2,479.984,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
16,1,8,1,1799.99,0.2,1439.992,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
16,2,21,1,269.99,0.05,256.4905,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
16,3,13,2,269.99,0.07,502.1814,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
16,4,14,1,269.99,0.07,251.0907,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
17,1,8,1,1799.99,0.07,1673.9907,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
17,2,23,1,299.99,0.1,269.991,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
17,3,5,1,1320.99,0.1,1188.891,Heller Shagamaw Frame - 2016,Mountain Bikes
17,4,20,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
18,1,2,2,749.99,0.2,1199.984,Ritchey Timberwolf Frameset - 2016,Mountain Bikes
18,2,22,1,269.99,0.05,256.4905,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
18,3,7,1,3999.99,0.1,3599.991,Trek Slash 8 27.5 - 2016,Mountain Bikes
18,4,25,2,499.99,0.05,949.981,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
18,5,9,2,2999.99,0.1,5399.982,Trek Conduit+ - 2016,Electric Bikes
19,1,10,1,1549,0.07,1440.57,Surly Straggler - 2016,Cyclocross Bicycles
19,2,9,2,2999.99,0.2,4799.984,Trek Conduit+ - 2016,Electric Bikes
20,1,9,1,2999.99,0.07,2789.9907,Trek Conduit+ - 2016,Electric Bikes
20,2,10,2,1549,0.07,2881.14,Surly Straggler - 2016,Cyclocross Bicycles
21,1,14,1,269.99,0.05,256.4905,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
21,2,17,1,429,0.1,386.1,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
21,3,10,1,1549,0.07,1440.57,Surly Straggler - 2016,Cyclocross Bicycles
22,1,15,2,529.99,0.2,847.984,Electra Moto 1 - 2016,Cruisers Bicycles
22,2,22,1,269.99,0.05,256.4905,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
23,1,4,2,2899.99,0.05,5509.981,Trek Fuel EX 8 29 - 2016,Mountain Bikes
23,2,23,2,299.99,0.1,539.982,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
23,3,13,1,269.99,0.2,215.992,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
24,1,3,2,999.99,0.1,1799.982,Surly Wednesday Frameset - 2016,Mountain Bikes
24,2,18,2,449,0.07,835.14,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
25,1,23,2,299.99,0.2,479.984,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
25,2,10,2,1549,0.2,2478.4,Surly Straggler - 2016,Cyclocross Bicycles
25,3,22,1,269.99,0.2,215.992,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
25,4,14,1,269.99,0.2,215.992,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
25,5,21,1,269.99,0.1,242.991,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
26,1,7,1,3999.99,0.05,3799.9905,Trek Slash 8 27.5 - 2016,Mountain Bikes
26,2,2,1,749.99,0.2,599.992,Ritchey Timberwolf Frameset - 2016,Mountain Bikes
26,3,12,1,549.99,0.2,439.992,Electra Townie Original 21D - 2016,Cruisers Bicycles
26,4,21,2,269.99,0.07,502.1814,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
27,1,5,1,1320.99,0.2,1056.792,Heller Shagamaw Frame - 2016,Mountain Bikes
27,2,19,1,449,0.2,359.2,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
27,3,26,2,599.99,0.07,1115.9814,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
27,4,8,1,1799.99,0.07,1673.9907,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
28,1,5,1,1320.99,0.05,1254.9405,Heller Shagamaw Frame - 2016,Mountain Bikes
28,2,7,2,3999.99,0.2,6399.984,Trek Slash 8 27.5 - 2016,Mountain Bikes
28,3,14,2,269.99,0.1,485.982,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
28,4,6,1,469.99,0.05,446.4905,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
29,1,24,2,549.99,0.05,1044.981,Electra Townie Original 21D - 2016,Comfort Bicycles
29,2,6,1,469.99,0.2,375.992,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
29,3,21,2,269.99,0.1,485.982,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
29,4,8,1,1799.99,0.2,1439.992,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
29,5,14,2,269.99,0.05,512.981,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
30,1,26,1,599.99,0.05,569.9905,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
30,2,17,1,429,0.07,398.97,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
30,3,19,1,449,0.1,404.1,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
30,4,4,1,2899.99,0.1,2609.991,Trek Fuel EX 8 29 - 2016,Mountain Bikes
30,5,7,2,3999.99,0.1,7199.982,Trek Slash 8 27.5 - 2016,Mountain Bikes
31,1,11,2,1680.99,0.05,3193.881,Surly Straggler 650b - 2016,Cyclocross Bicycles
31,2,9,2,2999.99,0.2,4799.984,Trek Conduit+ - 2016,Electric Bikes
32,1,8,2,1799.99,0.07,3347.9814,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
32,2,12,2,549.99,0.07,1022.9814,Electra Townie Original 21D - 2016,Cruisers Bicycles
32,3,25,2,499.99,0.1,899.982,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
33,1,23,2,299.99,0.07,557.9814,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
33,2,7,1,3999.99,0.1,3599.991,Trek Slash 8 27.5 - 2016,Mountain Bikes
34,1,8,2,1799.99,0.07,3347.9814,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
34,2,10,2,1549,0.1,2788.2,Surly Straggler - 2016,Cyclocross Bicycles
34,3,17,2,429,0.2,686.4,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
35,1,18,1,449,0.05,426.55,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
35,2,20,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
35,3,5,1,1320.99,0.2,1056.792,Heller Shagamaw Frame - 2016,Mountain Bikes
35,4,21,2,269.99,0.07,502.1814,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
35,5,22,1,269.99,0.07,251.0907,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
36,1,9,1,2999.99,0.07,2789.9907,Trek Conduit+ - 2016,Electric Bikes
36,2,5,1,1320.99,0.05,1254.9405,Heller Shagamaw Frame - 2016,Mountain Bikes
36,3,3,2,999.99,0.2,1599.984,Surly Wednesday Frameset - 2016,Mountain Bikes
37,1,16,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
38,1,7,2,3999.99,0.05,7599.981,Trek Slash 8 27.5 - 2016,Mountain Bikes
38,2,23,1,299.99,0.07,278.9907,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
38,3,25,1,499.99,0.2,399.992,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
38,4,10,2,1549,0.1,2788.2,Surly Straggler - 2016,Cyclocross Bicycles
38,5,24,1,549.99,0.07,511.4907,Electra Townie Original 21D - 2016,Comfort Bicycles
39,1,22,2,269.99,0.2,431.984,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
39,2,16,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
39,3,3,2,999.99,0.05,1899.981,Surly Wednesday Frameset - 2016,Mountain Bikes
39,4,15,1,529.99,0.1,476.991,Electra Moto 1 - 2016,Cruisers Bicycles
40,1,17,1,429,0.2,343.2,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
40,2,8,2,1799.99,0.2,2879.984,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
41,1,5,1,1320.99,0.1,1188.891,Heller Shagamaw Frame - 2016,Mountain Bikes
41,2,19,2,449,0.2,718.4,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
41,3,26,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
42,1,19,1,449,0.05,426.55,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
43,1,13,2,269.99,0.1,485.982,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
43,2,12,2,549.99,0.05,1044.981,Electra Townie Original 21D - 2016,Cruisers Bicycles
44,1,7,1,3999.99,0.1,3599.991,Trek Slash 8 27.5 - 2016,Mountain Bikes
44,2,16,1,599.99,0.05,569.9905,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
45,1,4,2,2899.99,0.2,4639.984,Trek Fuel EX 8 29 - 2016,Mountain Bikes
45,2,22,1,269.99,0.07,251.0907,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
45,3,21,2,269.99,0.05,512.981,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
46,1,17,1,429,0.1,386.1,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
47,1,6,1,469.99,0.05,446.4905,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
47,2,15,1,529.99,0.1,476.991,Electra Moto 1 - 2016,Cruisers Bicycles
47,3,25,2,499.99,0.07,929.9814,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
47,4,13,1,269.99,0.2,215.992,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
48,1,11,1,1680.99,0.1,1512.891,Surly Straggler 650b - 2016,Cyclocross Bicycles
48,2,4,1,2899.99,0.2,2319.992,Trek Fuel EX 8 29 - 2016,Mountain Bikes
48,3,5,2,1320.99,0.1,2377.782,Heller Shagamaw Frame - 2016,Mountain Bikes
48,4,14,2,269.99,0.07,502.1814,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
49,1,13,2,269.99,0.07,502.1814,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
50,1,3,1,999.99,0.05,949.9905,Surly Wednesday Frameset - 2016,Mountain Bikes
50,2,26,2,599.99,0.07,1115.9814,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
50,3,13,2,269.99,0.2,431.984,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
51,1,13,1,269.99,0.05,256.4905,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
51,2,20,1,599.99,0.05,569.9905,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
51,3,26,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
52,1,25,1,499.99,0.07,464.9907,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
53,1,8,2,1799.99,0.2,2879.984,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
53,2,23,2,299.99,0.05,569.981,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
53,3,14,2,269.99,0.2,431.984,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
53,4,25,2,499.99,0.1,899.982,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
54,1,26,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
54,2,3,1,999.99,0.2,799.992,Surly Wednesday Frameset - 2016,Mountain Bikes
55,1,21,1,269.99,0.05,256.4905,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
55,2,25,2,499.99,0.2,799.984,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
55,3,15,2,529.99,0.2,847.984,Electra Moto 1 - 2016,Cruisers Bicycles
56,1,20,2,599.99,0.07,1115.9814,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
57,1,23,2,299.99,0.1,539.982,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
57,2,19,2,449,0.2,718.4,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
57,3,13,1,269.99,0.07,251.0907,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
58,1,14,2,269.99,0.05,512.981,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
58,2,18,1,449,0.07,417.57,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
58,3,23,1,299.99,0.1,269.991,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
59,1,21,1,269.99,0.05,256.4905,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
59,2,2,1,749.99,0.1,674.991,Ritchey Timberwolf Frameset - 2016,Mountain Bikes
59,3,17,2,429,0.1,772.2,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
60,1,14,2,269.99,0.05,512.981,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
60,2,4,1,2899.99,0.1,2609.991,Trek Fuel EX 8 29 - 2016,Mountain Bikes
60,3,15,1,529.99,0.07,492.8907,Electra Moto 1 - 2016,Cruisers Bicycles
60,4,22,1,269.99,0.2,215.992,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
61,1,25,1,499.99,0.1,449.991,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
61,2,15,2,529.99,0.05,1006.981,Electra Moto 1 - 2016,Cruisers Bicycles
61,3,5,2,1320.99,0.2,2113.584,Heller Shagamaw Frame - 2016,Mountain Bikes
62,1,14,1,269.99,0.07,251.0907,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
62,2,8,2,1799.99,0.1,3239.982,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
62,3,22,2,269.99,0.1,485.982,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
63,1,25,2,499.99,0.1,899.982,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
63,2,19,2,449,0.05,853.1,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
63,3,3,1,999.99,0.1,899.991,Surly Wednesday Frameset - 2016,Mountain Bikes
64,1,25,2,499.99,0.1,899.982,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
64,2,22,2,269.99,0.2,431.984,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
64,3,23,2,299.99,0.2,479.984,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
64,4,24,2,549.99,0.1,989.982,Electra Townie Original 21D - 2016,Comfort Bicycles
65,1,12,1,549.99,0.1,494.991,Electra Townie Original 21D - 2016,Cruisers Bicycles
66,1,2,1,749.99,0.2,599.992,Ritchey Timberwolf Frameset - 2016,Mountain Bikes
66,2,23,1,299.99,0.07,278.9907,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
66,3,12,1,549.99,0.07,511.4907,Electra Townie Original 21D - 2016,Cruisers Bicycles
67,1,23,2,299.99,0.2,479.984,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
67,2,12,2,549.99,0.1,989.982,Electra Townie Original 21D - 2016,Cruisers Bicycles
67,3,21,1,269.99,0.2,215.992,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
67,4,5,2,1320.99,0.1,2377.782,Heller Shagamaw Frame - 2016,Mountain Bikes
67,5,19,1,449,0.2,359.2,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
68,1,13,2,269.99,0.07,502.1814,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
68,2,17,1,429,0.1,386.1,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
69,1,22,2,269.99,0.1,485.982,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
69,2,5,1,1320.99,0.2,1056.792,Heller Shagamaw Frame - 2016,Mountain Bikes
69,3,10,1,1549,0.05,1471.55,Surly Straggler - 2016,Cyclocross Bicycles
70,1,3,2,999.99,0.05,1899.981,Surly Wednesday Frameset - 2016,Mountain Bikes
70,2,18,1,449,0.2,359.2,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
70,3,20,1,599.99,0.05,569.9905,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
71,1,26,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
71,2,24,1,549.99,0.2,439.992,Electra Townie Original 21D - 2016,Comfort Bicycles
71,3,18,1,449,0.1,404.1,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
72,1,17,2,429,0.07,797.94,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
72,2,12,1,549.99,0.05,522.4905,Electra Townie Original 21D - 2016,Cruisers Bicycles
72,3,13,2,269.99,0.1,485.982,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
73,1,22,1,269.99,0.07,251.0907,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
73,2,26,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
73,3,3,2,999.99,0.07,1859.9814,Surly Wednesday Frameset - 2016,Mountain Bikes
73,4,25,1,499.99,0.07,464.9907,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
73,5,23,2,299.99,0.2,479.984,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
74,1,16,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
74,2,6,1,469.99,0.07,437.0907,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
75,1,3,1,999.99,0.1,899.991,Surly Wednesday Frameset - 2016,Mountain Bikes
75,2,7,2,3999.99,0.07,7439.9814,Trek Slash 8 27.5 - 2016,Mountain Bikes
75,3,15,1,529.99,0.2,423.992,Electra Moto 1 - 2016,Cruisers Bicycles
76,1,12,1,549.99,0.05,522.4905,Electra Townie Original 21D - 2016,Cruisers Bicycles
76,2,11,2,1680.99,0.1,3025.782,Surly Straggler 650b - 2016,Cyclocross Bicycles
76,3,5,1,1320.99,0.07,1228.5207,Heller Shagamaw Frame - 2016,Mountain Bikes
77,1,20,1,599.99,0.07,557.9907,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
77,2,24,2,549.99,0.1,989.982,Electra Townie Original 21D - 2016,Comfort Bicycles
77,3,26,1,599.99,0.2,479.992,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
77,4,25,1,499.99,0.2,399.992,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
78,1,17,1,429,0.07,398.97,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
78,2,19,1,449,0.2,359.2,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles
78,3,18,2,449,0.1,808.2,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
78,4,14,2,269.99,0.1,485.982,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles
79,1,9,2,2999.99,0.1,5399.982,Trek Conduit+ - 2016,Electric Bikes
79,2,17,2,429,0.05,815.1,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
79,3,6,1,469.99,0.1,422.991,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
79,4,25,2,499.99,0.07,929.9814,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
80,1,26,1,599.99,0.1,539.991,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
80,2,24,1,549.99,0.1,494.991,Electra Townie Original 21D - 2016,Comfort Bicycles
80,3,17,1,429,0.2,343.2,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
81,1,10,2,1549,0.2,2478.4,Surly Straggler - 2016,Cyclocross Bicycles
81,2,23,2,299.99,0.05,569.981,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
81,3,25,2,499.99,0.05,949.981,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
82,1,25,2,499.99,0.1,899.982,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
82,2,11,2,1680.99,0.2,2689.584,Surly Straggler 650b - 2016,Cyclocross Bicycles
83,1,20,1,599.99,0.2,479.992,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
83,2,3,2,999.99,0.05,1899.981,Surly Wednesday Frameset - 2016,Mountain Bikes
84,1,23,2,299.99,0.07,557.9814,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
84,2,15,2,529.99,0.07,985.7814,Electra Moto 1 - 2016,Cruisers Bicycles
85,1,4,2,2899.99,0.05,5509.981,Trek Fuel EX 8 29 - 2016,Mountain Bikes
85,2,18,1,449,0.07,417.57,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
86,1,9,2,2999.99,0.1,5399.982,Trek Conduit+ - 2016,Electric Bikes
86,2,23,2,299.99,0.07,557.9814,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
86,3,21,2,269.99,0.2,431.984,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
86,4,15,1,529.99,0.1,476.991,Electra Moto 1 - 2016,Cruisers Bicycles
87,1,20,2,599.99,0.2,959.984,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
87,2,23,2,299.99,0.1,539.982,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles
88,1,10,1,1549,0.07,1440.57,Surly Straggler - 2016,Cyclocross Bicycles
88,2,8,2,1799.99,0.1,3239.982,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
88,3,7,1,3999.99,0.1,3599.991,Trek Slash 8 27.5 - 2016,Mountain Bikes
89,1,5,1,1320.99,0.05,1254.9405,Heller Shagamaw Frame - 2016,Mountain Bikes
89,2,6,2,469.99,0.1,845.982,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
90,1,3,1,999.99,0.1,899.991,Surly Wednesday Frameset - 2016,Mountain Bikes
90,2,6,1,469.99,0.07,437.0907,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes
91,1,11,1,1680.99,0.1,1512.891,Surly Straggler 650b - 2016,Cyclocross Bicycles
91,2,25,1,499.99,0.05,474.9905,Electra Townie Original 7D - 2015/2016,Comfort Bicycles
91,3,15,2,529.99,0.07,985.7814,Electra Moto 1 - 2016,Cruisers Bicycles
91,4,13,2,269.99,0.07,502.1814,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles
92,1,8,1,1799.99,0.1,1619.991,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
93,1,22,2,269.99,0.07,502.1814,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles
93,2,17,1,429,0.05,407.55,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
93,3,21,1,269.99,0.1,242.991,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles
93,4,2,1,749.99,0.2,599.992,Ritchey Timberwolf Frameset - 2016,Mountain Bikes
93,5,10,2,1549,0.07,2881.14,Surly Straggler - 2016,Cyclocross Bicycles
